family,scenario_id,question_id,relevant_canonical_id,extracted_canonical_ids,qr_canon_exact_hit,qr_canon_normalized_hit,row_canonicalization_b_cubed_f1
forced_contradiction,forced_contradiction_001,forced_contradiction_001-question-before,world-fact-vertex-harbor-acquisition-status,world-fact-vertex-harbor-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_001,forced_contradiction_001-question-after,world-fact-vertex-harbor-acquisition-status,world-fact-vertex-harbor-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_002,forced_contradiction_002-question-before,world-fact-helios-summit-acquisition-status,world-fact-helios-summit-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_002,forced_contradiction_002-question-after,world-fact-helios-summit-acquisition-status,world-fact-helios-summit-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_003,forced_contradiction_003-question-before,world-fact-acme-northstar-acquisition-status,world-fact-acme-northstar-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_003,forced_contradiction_003-question-after,world-fact-acme-northstar-acquisition-status,world-fact-acme-northstar-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_004,forced_contradiction_004-question-before,world-fact-crest-bluejay-acquisition-status,world-fact-crest-bluejay-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_004,forced_contradiction_004-question-after,world-fact-crest-bluejay-acquisition-status,world-fact-crest-bluejay-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_005,forced_contradiction_005-question-before,world-fact-granite-skylark-acquisition-status,world-fact-granite-skylark-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_005,forced_contradiction_005-question-after,world-fact-granite-skylark-acquisition-status,world-fact-granite-skylark-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_006,forced_contradiction_006-question-before,world-fact-brightline-redwood-acquisition-status,world-fact-brightline-redwood-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_006,forced_contradiction_006-question-after,world-fact-brightline-redwood-acquisition-status,world-fact-brightline-redwood-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_007,forced_contradiction_007-question-before,world-fact-orchid-forge-acquisition-status,world-fact-orchid-forge-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_007,forced_contradiction_007-question-after,world-fact-orchid-forge-acquisition-status,world-fact-orchid-forge-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_008,forced_contradiction_008-question-before,world-fact-acme-northstar-acquisition-status,world-fact-acme-northstar-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_008,forced_contradiction_008-question-after,world-fact-acme-northstar-acquisition-status,world-fact-acme-northstar-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_009,forced_contradiction_009-question-before,world-fact-lattice-pioneer-acquisition-status,world-fact-lattice-pioneer-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_009,forced_contradiction_009-question-after,world-fact-lattice-pioneer-acquisition-status,world-fact-lattice-pioneer-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_010,forced_contradiction_010-question-before,world-fact-granite-skylark-acquisition-status,world-fact-granite-skylark-acquisition-status,1,1,1.0000000000
forced_contradiction,forced_contradiction_010,forced_contradiction_010-question-after,world-fact-granite-skylark-acquisition-status,world-fact-granite-skylark-acquisition-status,1,1,1.0000000000
