"question_id","question_type","label","rule_reference","rationale","evidence_session_count","answer_session_count"
"gpt4_2655b836","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",3,3
"gpt4_2487a7cb","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_76048e76","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_2312f94c","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"0bb5a684","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"08f4fc43","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"2c63a862","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_385a5000","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"2a1811e2","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"bbf86515","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_5dcc0aab","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",5,5
"gpt4_0b2f1d21","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"f0853d11","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_6ed717ea","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_70e84552","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"a3838d2b","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",6,6
"gpt4_93159ced","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_2d58bcd6","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_65aabe59","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"982b5123","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"b9cfe692","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",3,3
"gpt4_4edbafa2","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"c8090214","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_483dd43c","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"e4e14d04","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"c9f37c46","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
